N_img,x_wp,y_wp,class
img2,739,146,0
img2,477,718,1
img2,735,190,0
img2,496,713,1
img2,735,228,0
img2,510,717,1
img2,732,272,0
img2,526,721,1
img2,736,300,0
img2,544,719,1
img2,737,328,0
img2,557,723,1
img2,733,378,0
img2,575,719,1
img2,733,413,0
img2,589,724,1
img2,732,447,0
img2,606,722,1
img2,732,483,0
img2,621,723,1
img3,237,639,0
img3,742,679,1
img3,229,617,0
img3,735,656,1
img3,225,597,0
img3,736,637,1
img3,216,574,0
img3,728,614,1
img3,201,548,0
img3,725,589,1
img3,187,526,0
img3,730,568,1
img3,183,505,0
img3,726,548,1
img3,181,484,0
img3,723,527,1
img3,174,462,0
img3,720,504,1
img3,162,437,0
img3,720,480,1
img3,150,414,0
img3,718,458,1
img3,149,393,0
img3,715,438,1
img3,137,368,0
img3,715,413,1
img3,129,346,0
img3,717,392,1
img3,125,326,0
img3,712,371,1
img3,112,302,0
img3,709,348,1
img3,101,279,0
img3,710,327,1
img3,97,257,0
img3,712,306,1
img3,89,233,0
img3,705,282,1
img3,82,212,0
img3,707,261,1
img3,70,191,0
img3,701,241,1
img3,77,168,0
img3,696,217,1
img3,162,151,0
img3,694,193,1
img3,243,135,0
img3,691,170,1
img4,61,288,0
img4,145,739,1
img4,61,183,0
img4,164,737,1
img4,60,84,0
img4,183,741,1
img4,74,66,0
img4,201,740,1
img4,93,67,0
img4,218,735,1
img4,113,71,0
img4,239,739,1
img4,133,71,0
img4,257,738,1
img4,150,66,0
img4,275,737,1
img4,170,67,0
img4,293,731,1
img4,188,64,0
img4,314,732,1
img4,205,60,0
img4,332,735,1
img4,223,66,0
img4,351,737,1
img4,242,67,0
img4,369,739,1
img4,261,64,0
img4,388,736,1
img4,282,66,0
img4,407,734,1
img4,301,65,0
img4,427,739,1
img4,318,59,0
img4,444,736,1
img4,337,62,0
img4,464,733,1
img4,357,63,0
img4,484,738,1
img4,374,64,0
img4,500,735,1
img4,393,65,0
img4,519,734,1
img4,412,64,0
img4,539,736,1
img4,432,67,0
img4,557,735,1
img4,450,68,0
img4,576,737,1
img4,467,67,0
img4,593,738,1
img4,486,68,0
img4,612,734,1
img4,506,66,0
img4,631,735,1
img4,523,67,0
img4,651,738,1
img4,544,67,0
img4,670,735,1
img4,563,65,0
img4,689,734,1
img4,580,58,0
img4,707,738,1
img4,599,65,0
img4,726,740,1
img4,620,67,0
img4,738,703,1
img4,637,64,0
img4,742,624,1
img4,656,67,0
img4,741,525,1
img5,119,135,0
img5,131,713,1
img5,134,131,0
img5,146,708,1
img5,148,118,0
img5,160,704,1
img5,166,116,0
img5,177,700,1
img5,181,118,0
img5,193,695,1
img5,197,118,0
img5,210,698,1
img5,211,116,0
img5,224,687,1
img5,228,118,0
img5,240,679,1
img5,244,116,0
img5,255,682,1
img5,261,116,0
img5,272,679,1
img5,277,115,0
img5,288,680,1
img5,292,117,0
img5,304,678,1
img5,307,115,0
img5,319,671,1
img5,324,115,0
img5,336,665,1
img5,339,114,0
img5,350,663,1
img5,354,115,0
img5,365,655,1
img5,371,108,0
img5,383,654,1
img5,388,107,0
img5,399,648,1
img5,403,111,0
img5,413,643,1
img5,418,109,0
img5,429,641,1
img5,434,104,0
img5,445,632,1
img5,449,98,0
img5,460,629,1
img5,466,99,0
img5,477,629,1
img5,481,126,0
img5,491,628,1
img5,497,126,0
img5,507,619,1
img5,513,99,0
img5,524,616,1
img5,529,95,0
img5,540,615,1
img5,545,96,0
img5,555,605,1
img5,561,96,0
img5,572,601,1
img5,576,94,0
img5,587,598,1
img5,593,92,0
img5,603,598,1
img5,608,91,0
img5,618,598,1
img5,624,85,0
img5,633,591,1
img5,640,85,0
img5,650,583,1
img5,657,86,0
img5,667,582,1
img5,671,86,0
img5,682,574,1
img6,202,97,0
img6,86,404,1
img6,227,97,0
img6,87,468,1
img6,250,98,0
img6,84,535,1
img6,269,107,0
img6,105,538,1
img6,295,105,0
img6,128,548,1
img6,321,102,0
img6,150,552,1
img6,343,107,0
img6,173,555,1
img6,366,109,0
img6,193,565,1
img6,389,110,0
img6,213,573,1
img6,416,107,0
img6,236,580,1
img6,440,110,0
img6,259,582,1
img6,462,113,0
img6,283,583,1
img6,487,110,0
img6,303,593,1
img6,509,113,0
img6,323,602,1
img6,530,116,0
img6,343,608,1
img6,553,123,0
img6,365,615,1
img6,580,124,0
img6,390,621,1
img6,603,122,0
img6,411,628,1
img6,625,123,0
img6,431,633,1
img6,647,128,0
img6,455,635,1
img6,674,123,0
img6,474,649,1
img6,696,130,0
img6,499,648,1
img6,718,138,0
img6,523,653,1
img6,717,204,0
img6,546,656,1
img6,718,267,0
img6,568,662,1
img6,719,324,0
img6,587,671,1
img6,714,396,0
img6,608,676,1
img7,60,407,0
img7,344,744,1
img7,52,374,0
img7,367,747,1
img7,52,350,0
img7,387,747,1
img7,52,329,0
img7,408,750,1
img7,57,312,0
img7,424,746,1
img7,55,288,0
img7,438,742,1
img7,58,267,0
img7,463,747,1
img7,52,237,0
img7,481,744,1
img7,56,219,0
img7,499,745,1
img7,55,198,0
img7,515,741,1
img7,53,172,0
img7,543,750,1
img7,53,148,0
img7,560,748,1
img7,60,135,0
img7,579,747,1
img7,58,108,0
img7,594,743,1
img7,49,76,0
img7,618,748,1
img7,55,61,0
img7,636,747,1
img7,69,55,0
img7,656,748,1
img7,88,56,0
img7,675,748,1
img7,104,50,0
img7,693,747,1
img7,127,54,0
img7,719,752,1
img7,142,50,0
img7,739,755,1
img7,170,62,0
img7,746,741,1
img7,188,57,0
img7,748,720,1
img7,205,56,0
img7,750,700,1
img7,222,54,0
img7,749,677,1
img7,242,54,0
img7,750,655,1
img7,259,52,0
img7,747,628,1
img7,284,56,0
img7,751,610,1
img7,299,53,0
img7,746,582,1
img7,317,54,0
img7,748,562,1
img7,335,52,0
img7,748,540,1
img7,354,52,0
img7,744,512,1
img7,375,53,0
img7,745,488,1
img7,395,52,0
img7,748,467,1
img7,415,53,0
img7,751,451,1
img7,434,54,0
img7,749,427,1
img7,453,54,0
img7,745,398,1
img8,375,54,0
img8,61,387,1
img8,402,60,0
img8,60,426,1
img8,436,58,0
img8,60,459,1
img8,466,62,0
img8,61,493,1
img8,500,57,0
img8,59,528,1
img8,522,64,0
img8,59,555,1
img8,559,59,0
img8,59,589,1
img8,594,59,0
img8,59,628,1
img8,625,63,0
img8,60,664,1
img8,662,57,0
img8,56,700,1
img8,687,61,0
img8,60,727,1
img8,713,68,0
img8,78,744,1
img8,747,68,0
img8,113,742,1
img8,738,110,0
img8,144,743,1
img8,745,138,0
img8,173,746,1
img8,742,174,0
img8,205,745,1
img8,745,203,0
img8,233,746,1
img8,738,245,0
img8,271,742,1
img8,743,273,0
img8,297,747,1
img8,735,316,0
img8,336,739,1
img8,740,345,0
img8,367,742,1
img8,742,378,0
img8,400,739,1
img8,743,413,0
img8,434,742,1
img9,78,335,0
img9,320,708,1
img9,78,300,0
img9,340,705,1
img9,91,285,0
img9,363,703,1
img9,65,208,0
img9,387,704,1
img9,58,166,0
img9,408,704,1
img9,56,127,0
img9,428,697,1
img9,66,107,0
img9,449,697,1
img9,87,108,0
img9,464,687,1
img9,109,107,0
img9,485,685,1
img9,128,103,0
img9,505,682,1
img9,149,99,0
img9,523,675,1
img9,172,99,0
img9,546,674,1
img9,193,98,0
img9,566,671,1
img9,213,96,0
img9,584,668,1
img9,236,96,0
img9,604,662,1
img9,257,94,0
img9,629,667,1
img9,278,96,0
img9,645,659,1
img9,298,91,0
img9,669,660,1
img9,321,88,0
img9,689,654,1
img9,345,91,0
img9,707,648,1
img9,362,84,0
img9,733,655,1
img9,379,79,0
img9,743,639,1
img9,401,79,0
img9,744,606,1
img9,425,82,0
img9,742,567,1
img9,464,104,0
img9,739,524,1
img9,480,93,0
img9,740,493,1
img10,103,549,0
img10,704,668,1
img10,112,534,0
img10,713,655,1
img10,117,520,0
img10,714,639,1
img10,122,506,0
img10,715,625,1
img10,125,492,0
img10,723,611,1
img10,130,479,0
img10,723,597,1
img10,137,465,0
img10,721,581,1
img10,138,449,0
img10,720,564,1
img10,139,434,0
img10,720,549,1
img10,143,420,0
img10,718,533,1
img10,153,407,0
img10,723,519,1
img10,160,392,0
img10,724,503,1
img10,160,376,0
img10,723,487,1
img10,171,364,0
img10,724,475,1
img10,175,349,0
img10,726,459,1
img10,176,332,0
img10,733,442,1
img10,184,318,0
img10,729,427,1
img10,189,305,0
img10,725,411,1
img10,194,290,0
img10,724,395,1
img10,200,276,0
img10,728,381,1
img10,203,262,0
img10,734,367,1
img10,207,247,0
img10,734,352,1
img10,216,233,0
img10,731,335,1
img10,219,219,0
img10,736,321,1
img10,220,206,0
img10,737,307,1
img10,221,190,0
img10,732,291,1
img10,233,176,0
img10,736,277,1
img10,237,161,0
img10,736,261,1
img11,143,87,0
img11,58,521,1
img11,155,89,0
img11,57,590,1
img11,173,70,0
img11,58,654,1
img11,188,68,0
img11,57,728,1
img11,199,72,0
img11,71,732,1
img11,212,79,0
img11,84,730,1
img11,226,80,0
img11,97,734,1
img11,240,73,0
img11,110,735,1
img11,253,79,0
img11,123,735,1
img11,267,82,0
img11,138,737,1
img11,281,82,0
img11,152,737,1
img11,293,83,0
img11,163,742,1
img11,307,79,0
img11,177,740,1
img11,321,82,0
img11,192,740,1
img11,335,83,0
img11,204,743,1
img11,348,85,0
img11,219,737,1
img11,360,93,0
img11,233,735,1
img11,372,95,0
img11,245,738,1
img11,387,89,0
img11,259,741,1
img11,401,88,0
img11,275,733,1
img11,413,95,0
img11,289,723,1
img11,427,95,0
img11,302,725,1
img11,442,94,0
img11,314,739,1
img11,455,97,0
img11,327,740,1
img11,468,94,0
img11,340,743,1
img11,480,104,0
img11,355,740,1
img11,493,105,0
img11,369,732,1
img11,509,95,0
img11,383,731,1
img11,523,98,0
img11,397,734,1
img11,534,102,0
img11,410,733,1
img11,547,104,0
img11,423,736,1
img11,560,105,0
img11,436,738,1
img11,571,113,0
img11,448,739,1
img11,586,116,0
img11,463,735,1
img11,600,115,0
img11,478,733,1
img11,614,110,0
img11,491,735,1
img11,628,111,0
img11,504,742,1
img11,641,115,0
img11,517,742,1
img11,653,118,0
img11,531,738,1
img11,668,114,0
img11,545,737,1
img11,681,119,0
img11,559,738,1
img11,694,120,0
img11,571,742,1
img11,709,119,0
img11,585,745,1
img11,722,117,0
img11,600,740,1
img11,734,122,0
img11,612,738,1
img11,743,145,0
img11,626,742,1
img11,744,212,0
img11,641,737,1
img11,742,292,0
img11,654,735,1
img12,428,76,0
img12,65,417,1
img12,436,87,0
img12,64,436,1
img12,449,93,0
img12,55,462,1
img12,488,78,0
img12,61,478,1
img12,508,79,0
img12,75,484,1
img12,527,80,0
img12,90,488,1
img12,545,83,0
img12,101,497,1
img12,566,83,0
img12,132,489,1
img12,591,79,0
img12,142,499,1
img12,605,84,0
img12,149,511,1
img12,622,88,0
img12,164,518,1
img12,641,89,0
img12,174,527,1
img12,665,86,0
img12,188,533,1
img12,680,89,0
img12,202,538,1
img12,699,91,0
img12,214,546,1
img12,720,91,0
img12,235,546,1
img12,736,96,0
img12,247,553,1
img12,748,105,0
img12,259,562,1
img12,745,127,0
img12,273,567,1
img12,745,146,0
img12,292,570,1
img12,740,170,0
img12,305,578,1
img12,736,193,0
img12,314,588,1
img12,735,213,0
img12,334,588,1
img12,737,230,0
img12,348,595,1
img12,734,252,0
img12,363,600,1
img12,734,270,0
img12,374,608,1
img12,728,297,0
img12,389,614,1
img12,724,320,0
img12,400,623,1
img12,721,343,0
img12,414,629,1
img12,721,363,0
img12,429,634,1
img12,720,382,0
img12,442,641,1
img12,721,399,0
img12,456,646,1
img13,156,424,0
img13,218,742,1
img13,165,404,0
img13,230,741,1
img13,170,368,0
img13,242,736,1
img13,179,354,0
img13,253,734,1
img13,184,319,0
img13,266,739,1
img13,193,300,0
img13,280,746,1
img13,200,273,0
img13,291,742,1
img13,209,259,0
img13,302,738,1
img13,216,233,0
img13,315,739,1
img13,222,203,0
img13,329,747,1
img13,229,182,0
img13,339,745,1
img13,238,159,0
img13,351,741,1
img13,245,130,0
img13,365,742,1
img13,253,108,0
img13,377,743,1
img13,261,86,0
img13,389,738,1
img13,270,64,0
img13,400,738,1
img13,284,80,0
img13,408,717,1
img13,296,79,0
img13,420,714,1
img13,309,87,0
img13,438,743,1
img13,321,84,0
img13,450,746,1
img13,328,59,0
img13,461,745,1
img13,339,59,0
img13,472,744,1
img13,352,66,0
img13,484,738,1
img13,365,68,0
img13,496,738,1
img13,378,64,0
img13,510,744,1
img13,389,63,0
img13,522,746,1
img13,401,68,0
img13,533,743,1
img13,413,67,0
img13,541,715,1
img13,426,66,0
img13,553,712,1
img13,439,67,0
img13,572,742,1
img13,452,69,0
img13,584,745,1
img13,463,69,0
img13,596,748,1
img13,475,71,0
img13,607,749,1
img13,486,71,0
img13,618,743,1
img13,498,68,0
img13,630,741,1
img13,512,65,0
img13,643,745,1
img13,523,69,0
img13,655,742,1
img13,535,69,0
img13,664,726,1
img13,548,69,0
img13,668,685,1
img13,559,69,0
img13,672,644,1
img13,571,68,0
img13,677,608,1
img13,585,78,0
img13,682,572,1
img14,63,306,0
img14,257,736,1
img14,60,251,0
img14,279,739,1
img14,66,213,0
img14,303,738,1
img14,58,139,0
img14,328,738,1
img14,62,97,0
img14,351,737,1
img14,73,68,0
img14,377,740,1
img14,95,66,0
img14,400,740,1
img14,115,65,0
img14,420,737,1
img14,145,72,0
img14,442,730,1
img14,167,65,0
img14,471,740,1
img14,189,61,0
img14,495,737,1
img14,212,59,0
img14,520,739,1
img14,236,61,0
img14,546,741,1
img14,262,65,0
img14,566,737,1
img14,286,68,0
img14,588,732,1
img14,311,69,0
img14,614,740,1
img14,333,66,0
img14,636,738,1
img14,358,67,0
img14,661,734,1
img14,384,67,0
img14,686,735,1
img14,404,63,0
img14,709,735,1
img14,430,66,0
img14,734,738,1
img14,450,60,0
img14,740,701,1
img14,472,64,0
img14,739,653,1
img14,499,68,0
img14,737,593,1
img14,523,66,0
img14,741,547,1
img14,545,63,0
img14,739,492,1
img15,96,391,0
img15,254,655,1
img15,96,356,0
img15,275,655,1
img15,98,324,0
img15,301,661,1
img15,102,297,0
img15,323,665,1
img15,106,267,0
img15,348,670,1
img15,102,225,0
img15,372,672,1
img15,102,190,0
img15,392,671,1
img15,107,160,0
img15,421,683,1
img15,107,123,0
img15,446,687,1
img15,113,100,0
img15,462,682,1
img15,119,77,0
img15,491,694,1
img15,144,81,0
img15,511,691,1
img15,163,74,0
img15,537,699,1
img15,181,72,0
img15,563,708,1
img15,211,87,0
img15,583,708,1
img15,230,83,0
img15,608,712,1
img15,250,78,0
img15,633,715,1
img15,268,76,0
img15,654,716,1
img15,292,82,0
img15,674,717,1
img15,319,89,0
img15,689,701,1
img15,341,89,0
img15,692,670,1
img15,359,89,0
img15,692,640,1
img15,378,83,0
img15,692,606,1
img15,402,84,0
img15,691,565,1
img15,426,89,0
img15,699,541,1
img15,448,91,0
img15,697,505,1
img15,473,98,0
img15,705,482,1
img15,493,97,0
img15,699,438,1
img15,517,97,0
img15,706,413,1
img16,60,488,0
img16,518,744,1
img16,56,463,0
img16,554,742,1
img16,66,442,0
img16,560,717,1
img16,59,413,0
img16,570,698,1
img16,63,392,0
img16,576,677,1
img16,68,365,0
img16,582,652,1
img16,64,338,0
img16,591,633,1
img16,69,316,0
img16,598,611,1
img16,57,283,0
img16,610,592,1
img16,64,265,0
img16,610,570,1
img16,69,242,0
img16,615,546,1
img16,64,211,0
img16,626,524,1
img16,63,185,0
img16,633,502,1
img16,63,162,0
img16,639,483,1
img16,68,138,0
img16,638,457,1
img16,60,108,0
img16,652,440,1
img16,65,87,0
img16,656,418,1
img16,63,60,0
img16,663,397,1
img16,115,65,0
img16,665,372,1
img16,173,70,0
img16,677,352,1
img16,228,76,0
img16,687,333,1
img16,293,89,0
img16,694,312,1
img16,355,94,0
img16,697,285,1
img17,702,70,0
img17,75,287,1
img17,727,84,0
img17,80,308,1
img17,729,104,0
img17,73,331,1
img17,723,126,0
img17,73,351,1
img17,719,151,0
img17,75,374,1
img17,725,171,0
img17,78,396,1
img17,726,190,0
img17,69,418,1
img17,724,212,0
img17,70,439,1
img17,722,236,0
img17,74,461,1
img17,720,258,0
img17,80,480,1
img17,725,278,0
img17,78,501,1
img17,727,298,0
img17,79,523,1
img17,725,322,0
img17,71,549,1
img17,725,344,0
img17,70,570,1
img17,727,363,0
img17,75,589,1
img17,723,386,0
img17,74,612,1
img17,722,409,0
img17,73,634,1
img17,726,428,0
img17,76,653,1
img17,726,449,0
img17,71,675,1
img17,724,472,0
img17,74,697,1
img17,728,492,0
img17,72,719,1
img17,727,511,0
img17,93,731,1
img18,493,114,0
img18,69,277,1
img18,505,127,0
img18,70,294,1
img18,507,147,0
img18,66,317,1
img18,512,168,0
img18,68,341,1
img18,523,186,0
img18,64,363,1
img18,529,204,0
img18,67,383,1
img18,538,220,0
img18,69,401,1
img18,545,239,0
img18,71,421,1
img18,549,258,0
img18,69,444,1
img18,555,277,0
img18,70,464,1
img18,564,295,0
img18,72,485,1
img18,575,313,0
img18,73,506,1
img18,579,332,0
img18,77,525,1
img18,587,349,0
img18,77,546,1
img18,593,370,0
img18,71,570,1
img18,603,389,0
img18,71,595,1
img18,610,406,0
img18,72,614,1
img18,610,426,0
img18,72,634,1
img18,620,441,0
img18,74,651,1
img18,635,456,0
img18,84,670,1
img18,638,477,0
img18,76,694,1
img18,642,495,0
img18,77,713,1
img18,652,514,0
img18,79,736,1
img18,661,531,0
img18,116,741,1
img18,666,548,0
img18,177,736,1
img19,74,239,0
img19,128,701,1
img19,74,87,0
img19,147,701,1
img19,88,73,0
img19,163,706,1
img19,104,79,0
img19,178,705,1
img19,121,82,0
img19,195,705,1
img19,139,88,0
img19,211,702,1
img19,157,95,0
img19,229,706,1
img19,176,103,0
img19,247,706,1
img19,192,104,0
img19,263,710,1
img19,208,112,0
img19,278,709,1
img19,224,111,0
img19,294,707,1
img19,242,116,0
img19,312,702,1
img19,259,113,0
img19,329,710,1
img19,277,129,0
img19,345,708,1
img19,296,138,0
img19,364,712,1
img19,313,139,0
img19,380,705,1
img19,327,137,0
img19,393,704,1
img19,344,144,0
img19,410,714,1
img19,361,147,0
img19,428,716,1
img19,380,153,0
img19,447,719,1
img19,398,162,0
img19,462,718,1
img19,415,166,0
img19,479,719,1
img19,430,166,0
img19,495,718,1
img19,447,170,0
img19,510,714,1
img19,464,182,0
img19,528,718,1
img19,482,184,0
img19,546,727,1
img19,500,189,0
img19,563,727,1
img19,517,191,0
img19,581,728,1
img19,535,195,0
img19,596,729,1
img19,552,199,0
img19,612,723,1
img19,569,210,0
img19,629,723,1
img19,585,209,0
img19,647,730,1
img19,604,219,0
img19,664,729,1
img19,623,220,0
img19,682,725,1
img19,637,224,0
img19,696,727,1
img19,652,228,0
img19,707,691,1
img19,672,240,0
img19,713,581,1
img19,689,241,0
img19,720,507,1
img20,70,411,0
img20,244,616,1
img20,73,385,0
img20,270,617,1
img20,80,360,0
img20,308,627,1
img20,82,327,0
img20,347,641,1
img20,83,297,0
img20,385,653,1
img20,84,267,0
img20,420,663,1
img20,87,235,0
img20,456,670,1
img20,83,198,0
img20,491,678,1
img20,81,165,0
img20,527,688,1
img20,82,134,0
img20,566,704,1
img20,88,109,0
img20,593,704,1
img20,85,76,0
img20,622,707,1
img20,106,73,0
img20,662,727,1
img20,149,89,0
img20,683,719,1
img20,187,99,0
img20,690,690,1
img20,215,102,0
img20,695,668,1
img20,255,117,0
img20,693,633,1
img20,287,124,0
img20,701,612,1
img20,326,142,0
img20,704,587,1
img20,358,144,0
img20,701,552,1
img20,397,157,0
img20,706,521,1
img20,431,164,0
img20,712,493,1
img20,460,170,0
img20,716,469,1
img20,500,186,0
img20,718,441,1
img20,531,190,0
img20,722,413,1
img20,579,210,0
img20,719,375,1
img21,90,578,0
img21,186,689,1
img21,92,555,0
img21,202,683,1
img21,94,535,0
img21,228,693,1
img21,97,516,0
img21,250,695,1
img21,99,496,0
img21,269,693,1
img21,105,480,0
img21,289,694,1
img21,106,458,0
img21,309,695,1
img21,110,438,0
img21,335,700,1
img21,114,422,0
img21,359,706,1
img21,121,405,0
img21,380,706,1
img21,118,376,0
img21,404,709,1
img21,120,355,0
img21,425,710,1
img21,123,335,0
img21,446,711,1
img21,126,317,0
img21,465,711,1
img21,144,316,0
img21,485,711,1
img21,155,304,0
img21,507,712,1
img21,138,259,0
img21,533,716,1
img21,140,237,0
img21,552,717,1
img21,147,226,0
img21,572,720,1
img21,150,205,0
img21,596,723,1
img21,147,178,0
img21,618,726,1
img21,156,163,0
img21,641,727,1
img21,155,137,0
img21,663,727,1
img21,158,119,0
img21,668,711,1
img21,164,101,0
img21,668,687,1
img21,167,79,0
img21,670,663,1
img21,179,72,0
img21,675,647,1
img21,200,73,0
img21,679,628,1
img21,226,79,0
img21,680,605,1
img21,248,81,0
img21,681,584,1
img21,266,79,0
img21,683,565,1
img21,288,81,0
img21,688,548,1
img21,315,89,0
img21,689,524,1
img21,334,87,0
img21,688,499,1
img21,355,89,0
img21,691,479,1
img21,374,88,0
img21,696,462,1
img21,401,96,0
img21,695,436,1
img21,419,91,0
img21,697,415,1
img21,442,94,0
img21,695,388,1
img21,462,93,0
img21,701,371,1
img21,483,94,0
img21,702,349,1
img21,503,97,0
img21,707,334,1
img21,526,99,0
img21,702,305,1
img21,545,97,0
img21,711,291,1
img21,567,101,0
img21,711,269,1
img21,595,110,0
img21,717,251,1
img21,619,115,0
img21,714,226,1
img22,245,70,0
img22,64,424,1
img22,273,64,0
img22,61,480,1
img22,296,66,0
img22,66,514,1
img22,325,61,0
img22,65,570,1
img22,342,74,0
img22,62,621,1
img22,363,83,0
img22,65,664,1
img22,393,70,0
img22,61,721,1
img22,418,67,0
img22,77,738,1
img22,444,72,0
img22,108,731,1
img22,472,67,0
img22,129,740,1
img22,495,65,0
img22,155,734,1
img22,519,66,0
img22,181,730,1
img22,546,63,0
img22,207,730,1
img22,570,66,0
img22,227,739,1
img22,594,67,0
img22,253,739,1
img22,622,66,0
img22,283,734,1
img22,649,59,0
img22,302,739,1
img22,670,62,0
img22,327,735,1
img22,697,63,0
img22,356,731,1
img22,722,62,0
img22,375,740,1
img22,730,93,0
img22,405,728,1
img22,735,138,0
img22,433,730,1
img22,740,178,0
img22,453,740,1
img22,734,234,0
img22,478,737,1
img22,739,274,0
img22,506,730,1
img22,735,333,0
img22,529,734,1
img22,736,382,0
img22,554,737,1
img23,61,435,0
img23,309,735,1
img23,64,419,0
img23,331,743,1
img23,65,400,0
img23,343,736,1
img23,62,376,0
img23,360,736,1
img23,60,354,0
img23,381,743,1
img23,66,342,0
img23,393,739,1
img23,63,319,0
img23,411,740,1
img23,66,301,0
img23,429,741,1
img23,65,281,0
img23,444,739,1
img23,64,259,0
img23,458,735,1
img23,60,235,0
img23,480,742,1
img23,58,214,0
img23,490,737,1
img23,62,199,0
img23,509,739,1
img23,62,178,0
img23,526,741,1
img23,60,157,0
img23,539,737,1
img23,65,144,0
img23,554,735,1
img23,63,119,0
img23,575,739,1
img23,66,102,0
img23,586,734,1
img23,65,81,0
img23,604,734,1
img23,62,58,0
img23,624,741,1
img23,80,62,0
img23,638,738,1
img23,95,61,0
img23,651,735,1
img23,114,61,0
img23,676,744,1
img23,125,58,0
img23,689,742,1
img23,142,58,0
img23,706,743,1
img23,160,58,0
img23,721,739,1
img23,179,63,0
img23,736,738,1
img23,194,61,0
img23,733,715,1
img23,214,66,0
img23,736,697,1
img23,234,70,0
img23,741,685,1
img23,245,65,0
img23,737,663,1
img23,260,61,0
img23,740,645,1
img23,273,58,0
img23,740,625,1
img23,301,74,0
img23,736,602,1
img23,314,69,0
img23,737,581,1
img23,325,62,0
img23,742,566,1
img23,340,61,0
img23,742,548,1
img23,362,68,0
img23,742,527,1
img23,378,65,0
img23,736,501,1
img23,390,61,0
img23,739,486,1
img23,408,64,0
img23,739,465,1
img23,429,68,0
img23,741,446,1
img23,445,69,0
img23,736,421,1
img23,461,68,0
img23,739,406,1
img23,472,64,0
img23,738,385,1
img23,488,63,0
img23,739,368,1
img24,227,107,0
img24,74,369,1
img24,241,107,0
img24,80,386,1
img24,260,99,0
img24,77,415,1
img24,275,102,0
img24,77,441,1
img24,289,103,0
img24,79,464,1
img24,306,100,0
img24,80,489,1
img24,322,99,0
img24,85,505,1
img24,336,99,0
img24,94,516,1
img24,352,98,0
img24,84,557,1
img24,367,98,0
img24,85,581,1
img24,385,94,0
img24,88,603,1
img24,399,94,0
img24,88,627,1
img24,413,95,0
img24,90,648,1
img24,428,97,0
img24,86,680,1
img24,447,91,0
img24,93,695,1
img24,461,92,0
img24,93,720,1
img24,478,85,0
img24,97,739,1
img24,496,83,0
img24,113,740,1
img24,514,80,0
img24,130,739,1
img24,528,80,0
img24,145,735,1
img24,545,77,0
img24,158,739,1
